Supplementary Data 3: Global mRNA half-lives measurement				
ENSEMBL Gene Id	Gene Symbol	Type	Half-life	Minimum Expression Value
ENSG00000083845	RPS5	mRNA	1119.653863	48.58496
ENSG00000177697	CD151	mRNA	1101.688529	13.69027
ENSG00000167468	GPX4	mRNA	1031.540703	102.8381
ENSG00000108294	PSMB3	mRNA	997.5023385	151.7956
ENSG00000169727	GPS1	mRNA	989.8368109	44.10797
ENSG00000164885	CDK5	mRNA	971.9830926	14.68353
ENSG00000124614	RPS10	mRNA	909.8411833	139.0217
ENSG00000126247	CAPNS1	mRNA	904.9153758	91.0874
ENSG00000099817	POLR2E	mRNA	902.4620284	81.03108
ENSG00000105404	RABAC1	mRNA	893.147786	34.01947
ENSG00000125991	ERGIC3	mRNA	882.0547693	109.5829
ENSG00000129559	NEDD8	mRNA	872.722882	47.63858
ENSG00000129562	DAD1	mRNA	872.1730417	326.8497
ENSG00000136942	RPL35	mRNA	869.9575739	131.0613
ENSG00000086504	MRPL28	mRNA	869.7027962	29.10876
ENSG00000014641	MDH1	mRNA	864.6659336	37.88287
ENSG00000183207	RUVBL2	mRNA	856.0261505	43.03605
---	LOC440737	mRNA	854.0868407	16.40261
ENSG00000126267	COX6B1	mRNA	852.102736	69.61736
ENSG00000182718	ANXA2	mRNA	849.6421348	35.00447
ENSG00000085662	AKR1B1	mRNA	845.895358	47.17297
ENSG00000172531	PPP1CA	mRNA	843.2599623	64.84776
ENSG00000136810	TXN	mRNA	838.9910717	75.77868
ENSG00000216490	IFI30	mRNA	824.5558958	22.48412
ENSG00000099797	GPSN2	mRNA	823.4529856	47.88905
ENSG00000136930	PSMB7	mRNA	820.6708579	96.37854
ENSG00000123131	PRDX4	mRNA	813.0977717	43.41996
ENSG00000034510	TMSB10	mRNA	801.3083273	40.91338
ENSG00000163956	LRPAP1	mRNA	798.0983562	28.10757
ENSG00000168653	NDUFS5	mRNA	794.5891989	132.1343
ENSG00000168268	NT5DC2	mRNA	794.3814548	29.59727
ENSG00000116898	MRPS15	mRNA	791.8956193	85.54386
ENSG00000122026	RPL21	mRNA	790.4784519	120.1118
ENSG00000010256	UQCRC1	mRNA	788.4727039	17.70204
ENSG00000167642	SPINT2	mRNA	786.3897547	17.73538
ENSG00000240972	MIF	mRNA	785.7396834	107.3846
ENSG00000188976	NOC2L	mRNA	783.496839	57.67343
ENSG00000099795	NDUFB7	mRNA	781.4585981	28.08417
ENSG00000104823	ECH1	mRNA	779.0776007	169.341
ENSG00000165629	ATP5C1	mRNA	777.3910846	134.6335
ENSG00000111775	COX6A1	mRNA	776.9417621	135.55115
ENSG00000159063	ALG8	mRNA	774.7245478	49.83939
ENSG00000126432	PRDX5	mRNA	774.6869249	21.04006
ENSG00000092621	PHGDH	mRNA	771.3368202	124.5133
ENSG00000104889	RNASEH2A	mRNA	770.0257251	72.90741
ENSG00000172053	QARS	mRNA	769.1661364	45.72291
ENSG00000143198	MGST3	mRNA	768.7668879	22.03665
ENSG00000105669	COPE	mRNA	766.3098562	23.44913
ENSG00000102316	MAGED2	mRNA	764.0844287	13.18576
ENSG00000124702	KLHDC3	mRNA	757.5536186	54.68483
ENSG00000213465	ARL2	mRNA	754.2846212	33.53222
ENSG00000205794	LOC344967	mRNA	753.9113192	33.29424
ENSG00000184258	CDR1	mRNA	753.689099	3.610107
ENSG00000124299	PEPD	mRNA	753.6050613	56.69314
ENSG00000072506	HSD17B10	mRNA	752.9828926	81.55141
ENSG00000084207	GSTP1	mRNA	752.7131071	14.13216
ENSG00000117410	ATP6V0B	mRNA	748.5661021	57.66779
ENSG00000159352	PSMD4	mRNA	747.1478831	22.92969
ENSG00000174903	RAB1B	mRNA	742.447122	57.18434
ENSG00000115828	QPCT	mRNA	738.2210563	24.19375
ENSG00000184831	APOO	mRNA	735.6644744	31.66756
ENSG00000102226	USP11	mRNA	734.946603	99.0499
ENSG00000068903	SIRT2	mRNA	734.0687227	37.83149
ENSG00000077549	CAPZB	mRNA	732.5868012	62.06326
ENSG00000177156	TALDO1	mRNA	732.009686	43.78415
ENSG00000234745	HLA-B	mRNA	727.9957324	82.91233
ENSG00000164919	COX6C	mRNA	727.0416226	41.46488
ENSG00000155957	TMBIM4	mRNA	722.7532891	21.82207
ENSG00000103363	TCEB2	mRNA	722.2223643	73.00854
ENSG00000105254	TBCB	mRNA	719.1256234	106.8309
ENSG00000142227	EMP3	mRNA	716.7455082	9.162269
ENSG00000172270	BSG	mRNA	710.372713	188.6236
ENSG00000102265	TIMP1	mRNA	709.775582	99.18067
ENSG00000030582	GRN	mRNA	709.3491223	75.08419
ENSG00000126768	TIMM17B	mRNA	705.9689254	25.07017
ENSG00000136149	RP11-365K22.1	mRNA	705.6704812	54.81373
ENSG00000143314	MRPL24	mRNA	705.4253017	40.10241
ENSG00000119421	NDUFA8	mRNA	704.6200485	24.2604
---	RPS27	mRNA	701.2934335	238.1956
ENSG00000110651	CD81	mRNA	701.0772072	85.0877
ENSG00000176894	PXMP2	mRNA	700.5446152	63.4313
ENSG00000002586	CD99	mRNA	700.5281467	56.00037
ENSG00000204525	HLA-C	mRNA	699.6664414	113.92465
ENSG00000135506	OS9	mRNA	698.1039296	60.91736
ENSG00000111481	COPZ1	mRNA	696.1017509	129.3631
ENSG00000115268	RPS15	mRNA	694.5962862	284.8564
ENSG00000143774	GUK1	mRNA	694.2311137	37.14526
ENSG00000223865	HLA-DPB1	mRNA	688.5531409	21.67141067
ENSG00000166595	FAM96B	mRNA	687.6871921	53.15814
ENSG00000126602	TRAP1	mRNA	681.8423368	112.4529
ENSG00000084754	HADHA	mRNA	679.5761448	45.78426
ENSG00000103051	COG4	mRNA	675.8256368	28.7923
ENSG00000099341	PSMD8	mRNA	675.380062	127.6409
---	LOC440733	mRNA	672.8187461	12.68754
ENSG00000149806	FAU	mRNA	672.3494598	89.80624
ENSG00000082146	ALS2CR2	mRNA	671.9183932	23.42228
ENSG00000085871	MGST2	mRNA	671.0627871	13.83092
ENSG00000129255	MPDU1	mRNA	669.5513358	92.90605
ENSG00000161203	AP2M1	mRNA	669.3005882	92.65692
ENSG00000180879	SSR4	mRNA	667.712131	15.92813
ENSG00000241468	ATP5J2	mRNA	666.1921496	42.45568
ENSG00000147123	NDUFB11	mRNA	665.8228477	95.93202
ENSG00000159720	ATP6V0D1	mRNA	665.6551651	24.68301
ENSG00000167986	DDB1	mRNA	663.9159178	139.2904
ENSG00000204463	BAT3	mRNA	662.6204363	61.52030667
ENSG00000099624	ATP5D	mRNA	662.5248394	31.94646
ENSG00000179091	CYC1	mRNA	662.0333432	52.72764
ENSG00000181029	TRAPPC5	mRNA	661.5198983	26.88997
ENSG00000183048	SLC25A10	mRNA	660.843831	19.38405
ENSG00000174851	YIF1A	mRNA	659.6320442	31.50066
ENSG00000137100	DCTN3	mRNA	659.230226	49.66755
ENSG00000125970	RALY	mRNA	658.7303762	72.44372
ENSG00000149273	RPS3	mRNA	658.5238685	598.8704
ENSG00000135404	CD63	mRNA	658.2384648	57.55464
ENSG00000105640	RPL18A	mRNA	657.9951727	170.314885
---	LOC387753	mRNA	657.808096	15.35268
ENSG00000104964	AES	mRNA	655.4495005	21.23528
ENSG00000127837	AAMP	mRNA	654.7505436	39.9268
ENSG00000130175	PRKCSH	mRNA	654.2714311	100.0554
ENSG00000100462	PRMT5	mRNA	654.097531	101.407
ENSG00000140988	RPS2	mRNA	650.5799063	492.3469667
ENSG00000189043	NDUFA4	mRNA	650.3086942	12.5084
ENSG00000126756	UXT	mRNA	649.5613638	47.12467
ENSG00000163382	APOA1BP	mRNA	649.1751411	119.3796
ENSG00000164733	CTSB	mRNA	648.4240671	20.73256
ENSG00000135916	ITM2C	mRNA	647.8982213	55.21607
ENSG00000152240	CCDC5	mRNA	647.1406221	12.31478
ENSG00000125734	GPR108	mRNA	646.1850138	17.01568
ENSG00000106153	CHCHD2	mRNA	644.7682262	71.18059
ENSG00000196976	LAGE3	mRNA	644.4552052	14.65182
ENSG00000160783	PMF1	mRNA	644.408328	54.53566
ENSG00000160752	FDPS	mRNA	644.3498321	36.78666
ENSG00000174483	DPP3	mRNA	643.8502301	27.38511
ENSG00000111678	C12orf57	mRNA	643.3647879	31.52485
ENSG00000079739	PGM1	mRNA	642.861299	36.41123
ENSG00000156482	RPL30	mRNA	642.5596797	245.3466
ENSG00000206172	HBA1	mRNA	641.747444	22.5083
ENSG00000111669	TPI1	mRNA	640.8628732	55.08215
ENSG00000198931	APRT	mRNA	639.5632422	20.94277
ENSG00000106211	HSPB1	mRNA	639.4375424	15.63363
ENSG00000174886	NDUFA11	mRNA	638.9385659	21.05968
ENSG00000137563	GGH	mRNA	638.9293436	44.17039
ENSG00000111667	USP5	mRNA	638.4883708	42.51704
ENSG00000107874	CUEDC2	mRNA	637.6458004	13.92223
ENSG00000113269	RNF130	mRNA	636.6900932	29.5767
ENSG00000105402	NAPA	mRNA	636.3453042	16.98452
ENSG00000084623	EIF3I	mRNA	636.0264069	180.4592
ENSG00000169682	SPNS1	mRNA	635.8991848	41.60289
ENSG00000064666	CNN2	mRNA	635.3649159	17.30863
ENSG00000138495	COX17	mRNA	634.9594356	29.79816
ENSG00000101210	EEF1A2	mRNA	633.8147094	15.2996
ENSG00000100347	SAMM50	mRNA	633.595251	33.48791
ENSG00000149925	ALDOA	mRNA	632.9963559	38.84677
ENSG00000007080	CCDC124	mRNA	632.5687131	25.75778
ENSG00000071553	ATP6AP1	mRNA	632.5005041	74.17191
ENSG00000206503	HLA-A	mRNA	632.2267394	149.7594333
ENSG00000105701	FKBP8	mRNA	632.107528	20.40388
ENSG00000175550	DRAP1	mRNA	631.4806748	17.59553
ENSG00000163931	TKT	mRNA	630.7728123	28.83918
ENSG00000130985	UBA1	mRNA	630.0921121	161.6961
---	LOC100129028	mRNA	629.8183498	80.71938
ENSG00000170296	GABARAP	mRNA	629.7206796	47.24858
ENSG00000197043	ANXA6	mRNA	629.3455067	31.86314
ENSG00000108830	RND2	mRNA	629.3265313	16.37956
ENSG00000204394	VARS	mRNA	629.2996482	42.21023
ENSG00000170727	BOP1	mRNA	628.6723999	20.972025
ENSG00000137509	PRCP	mRNA	628.5219529	22.14378
ENSG00000132589	FLOT2	mRNA	628.2565823	32.2068
ENSG00000065268	WDR18	mRNA	627.6356328	37.01892
---	PFKL	mRNA	627.1041109	20.38932
ENSG00000142546	NOSIP	mRNA	626.4724009	22.58913
ENSG00000072958	AP1M1	mRNA	626.0313843	25.8637
ENSG00000106628	POLD2	mRNA	625.6760107	61.9703
ENSG00000143106	PSMA5	mRNA	625.4061005	57.45961
ENSG00000168090	COPS6	mRNA	624.6329307	255.3866
ENSG00000166136	NDUFB8	mRNA	624.5252318	75.59011
ENSG00000161016	RPL8	mRNA	623.1105911	518.7618
ENSG00000118640	VAMP8	mRNA	622.8693203	50.05013
ENSG00000140990	NDUFB10	mRNA	622.1075405	29.95418
ENSG00000104529	EEF1D	mRNA	620.5298166	95.35435
ENSG00000010278	CD9	mRNA	620.4784307	62.69182
ENSG00000102144	PGK1	mRNA	619.8538894	190.2269
ENSG00000172009	THOP1	mRNA	619.0186394	17.95258
ENSG00000051523	CYBA	mRNA	619.0101639	10.34906
ENSG00000149823	C11orf2	mRNA	617.8549745	17.40963
ENSG00000100280	AP1B1	mRNA	617.4617965	48.65985
ENSG00000178035	IMPDH2	mRNA	617.3905135	69.01272
ENSG00000169020	ATP5I	mRNA	617.1496382	32.39661
ENSG00000142208	AKT1	mRNA	617.0351041	32.69939
ENSG00000115457	IGFBP2	mRNA	616.6332029	12.6209
ENSG00000133027	PEMT	mRNA	616.2828742	26.04129
ENSG00000147684	NDUFB9	mRNA	615.6055312	60.44454
ENSG00000115286	NDUFS7	mRNA	615.3435416	9.97004
ENSG00000117691	NENF	mRNA	614.300005	30.94466
ENSG00000126457	PRMT1	mRNA	614.0523464	62.34175
ENSG00000049656	CLPTM1L	mRNA	613.6626109	54.13861
ENSG00000102007	PLP2	mRNA	613.5836745	125.3328
ENSG00000094914	AAAS	mRNA	612.7550163	63.65739
ENSG00000115685	PPP1R7	mRNA	612.2951017	25.33466
ENSG00000177954	RPS27	mRNA	612.2028765	288.6842667
ENSG00000106992	AK1	mRNA	611.874294	10.95403
ENSG00000119655	NPC2	mRNA	611.7752592	25.89064
ENSG00000130520	LSM4	mRNA	611.6588598	140.6722
ENSG00000167863	ATP5H	mRNA	611.5217869	76.27433
ENSG00000130811	EIF3G	mRNA	611.2187553	99.66129
ENSG00000104805	NUCB1	mRNA	610.5929546	28.13132
ENSG00000078668	VDAC3	mRNA	610.1239478	262.0571
ENSG00000063177	RPL18	mRNA	609.9379641	745.3355
ENSG00000102882	MAPK3	mRNA	609.742077	24.5847
ENSG00000142534	RPS11	mRNA	609.6469817	532.4905
