MEDIAN	SYMBOL
2915	MAPK3
1899	BLR1
42	DUSP1
129	DDR1
2535	PRKR
2678	HINT1
77	YWHAE
2567	PCAF
1215	POLG
134	MSH6
3876	WNT10B
4485	CIB1
833	IFNG
3660	TXK
75	TOP1
4338	SRPK1
73	IFNGR1
256	HIF1A
4317	POU6F1
152	E2F5
174	RELA
68	RI58
3318	RXRG
56	CEBPD
151	RFC2
4421	RFC4
131	RFC4
42	IL16
65	RUNX3
32	IL10RA
37	IL10RA
2630	PTK9
251	FLT3LG
4500	FLT3LG
66	GTF2B
134	TCEA1
46	RAB1A
3988	IL1A
1079	ODC1
1248	PLCG1
1160	MUC1
76	PLCG2
3388
119	RAB9P40
2579	PPP2R1B
81	CCR7
2163	IRAK1
172	APBB1
49	NR3C1
151	HSPA1A
2083	TRB
162	TRA
1682	ISG15
283	EPHA1
3876	RABGGTA
536	TRD
383	CD19
265	CDA
3673	PTGER4
181	RPA2
4240	TAF1
1172	GSTM3
3554
490	MLL
182	CD44
4406	CD44
194	RPS6KA1
179	MAP2K1
151	MAP2K2
1680	ACK1
3987	GPRK5
4232	DTYMK
2427	SLC20A2
2660	SLC20A1
55	GNA13
2153	ITGAE
207	FGFR2
3392	CD4
333	PTPRE
2192	RPL22
1492	EIF2S1
152	MYCL2
90	IFNAR1
4007	CALM3
3922	PRKAR2A
518	CYC1
2179	HSPCB
153	GNL1
67	PIK3CB
70	UBE2D1
854	PSMD2
4520	SAT
785	ITGB3
2952	DHFR
971	HSPA1A
2585	HSPA1A
1509	PLCL1
2866	PSME2
3886	CDK8
3749	PSMD11
1795	PSMD12
3695	UBE3A
2343	ICAP-1A
81	CHC1
308	EIF4A1
2294	ITGA1
33	RAB33A
24	RAB33A
2628	CDK6
10	TRAF6
3714	PAX8
1885	TNFRSF25
68	CRADD
819	SRPK2
3154	PRKCB1
1718	IRF2
523	PCTK2
3879	PCTK1
2714	PCTK1
3012	ADAM17
59	ADAM17
179	MGEA6
1625	UBE2B
118	YWHAZ
1221	IER3
566	MAPK9
2920	CASP2
1186	CASP2
190	PTP4A2
1189	ERF
4862	DDB2
1497	STAT2
1534	PAK2
3268	POLR2H
447	PRKDC
351	D5S346
3940	GSK3B
